word,prounciation
Adam,none
air ,none
aloud,əˈlaʊd
altar,ˈɑːl.tɚ
ant,ænt
ate,et
band,bænd
bare,ber
base,beɪs
be,biː
beat,biːt
berry,ˈber.i
billed,none
blew,bluː
board,bɔːrd
brake,breɪk
buy,baɪ
collar,ˈkɑː.lɚ
cell,sel
cent,sent
chili,ˈtʃɪl.i
chews,tʃuː
cite,saɪt
close,kloʊz
core,kɔːr
course,kɔːrs
dear,dɪr
die,daɪ
do,də
finish,ˈfɪn.ɪʃ
feudal,ˈfjuː.dəl
flea,fliː
flew,fluː
flower,ˈflaʊ.ɚ
for,fɔːr
Greece,none
guest,ɡest
gym,dʒɪm
heal,hiːl
hear,hɪr
heard,hɪr
him,hɪm
hire,haɪr
hole,hoʊl
I,none
I'll,none
in,ɪn
know,noʊ
lessen,ˈles.ən
maid,meɪd
mail,meɪl
meat,miːt
metal,ˈmet̬.əl
new,nuː
nose,noʊz
not,nɑːt
nun,nʌn
oh,oʊ
one,none
our,ˈaʊ.ɚ
pail,peɪl
pair,per
past,pæst
peace,piːs
principal,ˈprɪn.sə.pəl
profit,ˈprɑː.fɪt
rain,reɪn
red,red
right,raɪt
ring,rɪŋ
road,roʊd
roll,roʊl
root,ruːt
root ,none
sail,seɪl
sea,siː
seam,siːm
seas,siː
seen,siːn
seller,ˈsel.ɚ
side,saɪd
so,none
some,səm
stair,ster
steal,stiːl
sweet,swiːt
tail,teɪl
there,ðer
tie,taɪ
to,tuː
tow,toʊ
wait,weɪt
way,weɪ
weak,wiːk
wear,wer
weather,ˈweð.ɚ
wheel,wiːl
wore,wɔːr
worn,wɔːrn
actually,ˈæk.tʃu.ə.li
aspirin,ˈæs.prɪn
average,ˈæv.ɚ.ɪdʒ
basically,ˈbeɪ.sɪ.kəl.i
beverage,ˈbev.ɚ.ɪdʒ
broccoli,ˈbrɑː.kəl.i
business,ˈbɪz.nɪs
camera,ˈkæm.rə
Catholic,none
chocolate ,none
comfortable,ˈkʌm.fɚ.t̬ə.bəl
coverage,ˈkʌv.ɚ.ɪdʒ
desperate,ˈdes.pɚ.ət
diamond,ˈdaɪ.ə.mənd
diaper,ˈdaɪ.pɚ
different,ˈdɪf.ɚ.ənt
evening,ˈiːv.nɪŋ
every,ˈev.ri
extraordinary ,none
family,ˈfæm.əl.i
favorite,ˈfeɪ.vər.ət
generally,ˈdʒen.ə r.əl.i
interest,ˈɪn.trɪst
interesting,ˈɪn.trɪ.stɪŋ
laboratory,ˈlæb.rə.tɔːr.i
liberal,ˈlɪb.ər.əl
opera,ˈɑː.pɚ.ə
practically ,none
preference,ˈpref.ər.əns
several,ˈsev.ɚ.əl
temperature ,none
theory,ˈθɪr.i
vegetable,ˈvedʒ.tə.bəl
bomb,bɑːm
crumb,krʌm
climb,klaɪm
comb,koʊm
debt,det
doubt,daʊt
dumb,dʌm
lamb,læm
limb,lɪm
numb,nʌm
plumber,ˈplʌm.ɚ
subtle,ˈsʌt̬.əl
thumb,θʌm
tomb,tuːm
indict,ɪnˈdaɪt
muscle,ˈmʌs.əl
yacht,jɑːt
adjective,ˈædʒ.ek.tɪv
adjust,əˈdʒʌst
handsome,ˈhæn.səm
Wednesday,none
align,əˈlaɪn
assign,əˈsaɪn
benigh,none
campaign,kæmˈpeɪn
champagne,ʃæmˈpeɪn
design,dɪˈzaɪn
diaphragm,ˈdaɪ.ə.fræm
foreign,ˈfɔːr.ən
reign,reɪn
resign,rɪˈzaɪn
sign,saɪn
bright,braɪt
bought,bɑːt
caught,kɑːt
drought,draʊt
fight,faɪt
fought,fɑːt
height,haɪt
high,haɪ
light,laɪt
night,naɪt
weigh,weɪ
weight,weɪt
ghost,ɡoʊst
heir,er
honest,ˈɑː.nɪst
hour,aʊr
honor,ˈɑː.nɚ
herb,ɝːb
vehicle,ˈviː.ə.kəl
exhibit,ɪɡˈzɪb.ɪt
knee,niː
knife,naɪf
know,noʊ
knot,nɑːt
calm,kɑːm
chalk,tʃɑːk
calf,kæf
could,kʊd
folk,foʊk
half,hæf
Lincoln,none
salmon,ˈsæm.ən
should,ʃʊd
talk,tɑːk
walk,wɑːk
would,wʊd
hymn,hɪm
autumn,ˈɑː.t̬əm
column,ˈkɑː.ləm
cupboard,ˈkʌb.ɚd
psychology,saɪˈkɑː.lə.dʒi
pneumonia,nuːˈmoʊ.njə
psychic,ˈsaɪ.kɪk
psalm,sɑːm
receipt,rɪˈsiːt
aisle,aɪl
Arkansas,none
debris,dəˈbriː
Illinois,none
island,ˈaɪ.lənd
ballet,bælˈeɪ
bouquet,boʊˈkeɪ
buffet,bəˈfeɪ
castle,ˈkæs.əl
Chevrolet,none
Christmas,none
fasten,ˈfæs.ən
listen,ˈlɪs.ən
mortgage,ˈmɔːr.ɡɪdʒ
often,ˈɑːf.ən
whistle,ˈwɪs.əl
fillet,ˈfɪl.ɪt
gourmet,ˈɡʊr.meɪ
debut,ˈdeɪ.bju
soften,ˈsɑː.fən
rapport,ræpˈɔːr
asthma,ˈæz.mə
months,mʌnθ
clothes,kloʊðz
answer,ˈæn.sɚ
